id	absolute
1001	38.4
1003	39.6
1005	36.1
1007	39.1
1009	42
1011	34.2
1013	37.9
1015	38.3
1017	35.4
1019	37
1021	40.3
1023	40.5
1025	39.9
1027	40.9
1029	43.9
1031	41
1033	38.8
1035	38.5
1037	37.9
1039	43.4
1041	44
1043	42.2
1045	39.8
1047	35.5
1049	42.4
1051	39.1
1053	40.2
1055	39.3
1057	42.8
1059	42.6
1061	38.6
1063	34.8
1065	37.2
1067	37.7
1069	38.1
1071	42.1
1073	36.2
1075	44.3
1077	42.2
1079	40.6
1081	36.7
1083	38.9
1085	34.7
1087	33.7
1089	37.1
1091	37.8
1093	43.2
1095	41.7
1097	37.4
1099	38.1
1101	34.3
1103	38.8
1105	36
1107	37.7
1109	40
1111	38.2
1113	35.7
1115	40.8
1117	40.4
1119	35.7
1121	37.4
1123	38
1125	37.3
1127	41.1
1129	43.1
1131	35.1
1133	41.1
2013	
2016	
2020	44.1
2050	34.1
2060	
2068	
2070	
2090	45
2100	
2110	41.7
2122	47.3
2130	43.8
2150	45.7
2164	
2170	47.7
2180	30.7
2185	31.2
2188	31.3
2201	38.6
2220	38
2232	
2240	50.7
2261	45.9
2270	
2280	44.2
2282	
2290	41.9
4001	34.6
4003	42.9
4005	39.5
4007	38.2
4009	44.7
4011	44.4
4012	37.2
4013	40.7
4015	40.4
4017	35.8
4019	39
4021	36.1
4023	43
4025	43.2
4027	44
5001	39.8
5003	38.6
5005	43.5
5007	44
5009	44.8
5011	40.7
5013	
5015	44.4
5017	35.1
5019	41
5021	42.3
5023	46.8
5025	40.2
5027	39.6
5029	42.9
5031	41.2
5033	41
5035	33.5
5037	39
5039	37.1
5041	36.4
5043	38.1
5045	43.3
5047	45.4
5049	44.8
5051	40.2
5053	43.4
5055	40.7
5057	37.8
5059	39.7
5061	39
5063	44.3
5065	44.1
5067	38.6
5069	35.7
5071	43.5
5073	36.1
5075	43.2
5077	37.4
5079	38.4
5081	41.4
5083	43.1
5085	39.9
5087	43.4
5089	44.1
5091	38.1
5093	36.9
5095	39.8
5097	
5099	39.8
5101	42.9
5103	37.5
5105	44
5107	35
5109	45.3
5111	38
5113	45.3
5115	41.4
5117	40.5
5119	35.8
5121	43
5123	35.1
5125	40.6
5127	42.7
5129	46.9
5131	40.2
5133	44.3
5135	43.7
5137	40
5139	37.4
5141	45.4
5143	42.8
5145	42.8
5147	37.6
5149	42.1
6001	42.5
6003	
6005	44.2
6007	41.3
6009	42.8
6011	47.8
6013	43.6
6015	38.6
6017	45.6
6019	40.8
6021	43.6
6023	38.9
6025	44
6027	43.7
6029	45.3
6031	42.2
6033	40.4
6035	44.3
6037	43.3
6039	41.7
6041	46.7
6043	45.1
6045	40
6047	42
6049	46.7
6051	48.1
6053	43.6
6055	47.3
6057	44.2
6059	46.4
6061	45.4
6063	44
6065	41.8
6067	41.6
6069	43.8
6071	42
6073	44.3
6075	47.8
6077	42.6
6079	45.1
6081	47
6083	44.4
6085	45.6
6087	43.4
6089	41.9
6091	
6093	44.5
6095	42.8
6097	43.6
6099	42.2
6101	44.6
6103	41.4
6105	42.5
6107	42.1
6109	44.8
6111	44.5
6113	44.3
6115	42.4
8001	41.7
8003	44.1
8005	44
8007	43.7
8009	
8011	
8013	46.8
8015	48.1
8017	
8019	
8021	48
8023	
8025	
8027	
8029	50.3
8031	37.6
8033	
8035	47.9
8037	45.9
8039	46.7
8041	41.2
8043	45.6
8045	49.3
8047	
8049	42.7
8051	48.3
8053	
8055	43.2
8057	
8059	45.4
8061	
8063	55.5
8065	43
8067	47.8
8069	45.4
8071	45.5
8073	
8075	50.1
8077	46.6
8079	
8081	48.6
8083	46.4
8085	45.1
8087	47.8
8089	43.2
8091	
8093	48.6
8095	
8097	42
8099	48.3
8101	39.2
8103	56.7
8105	44.8
8107	50.9
8109	45.3
8111	
8113	
8115	
8117	48.4
8119	45.6
8121	
8123	44.3
8125	54.3
9001	42.9
9003	41.6
9005	44.3
9007	44.7
9009	41.9
9011	42.8
9013	46.1
9015	42.9
10001	39.7
10003	37.1
10005	37.9
11001	35.8
12001	38.1
12003	39.6
12005	39.7
12007	38.9
12009	39.5
12011	40.3
12013	40.3
12015	41.9
12017	40.8
12019	40.9
12021	40.4
12023	38.3
12027	37
12029	41.1
12031	36.7
12033	38.1
12035	40.2
12037	36
12039	33.8
12041	41.3
12043	
12045	36.1
12047	37.3
12049	40.7
12051	38.8
12053	40.4
12055	39.5
12057	38.7
12059	41.6
12061	38.9
12063	40
12065	36.7
12067	
12069	38.1
12071	39.1
12073	37.8
12075	38.6
12077	
12079	35.4
12081	37.5
12083	38.3
12085	39.1
12086	42
12087	43.7
12089	37.7
12091	40.8
12093	39
12095	38.5
12097	40.2
12099	39.3
12101	39.1
12103	39.6
12105	39.3
12107	36.9
12109	39.3
12111	37.6
12113	42.8
12115	40.2
12117	41.3
12119	37.6
12121	41.1
12123	39.8
12125	38.1
12127	39.6
12129	39.5
12131	39.5
12133	40.7
13001	39.1
13003	37.6
13005	37.4
13007	
13009	32.9
13011	40.8
13013	37.6
13015	37.4
13017	36.6
13019	40.4
13021	34
13023	35.8
13025	38.7
13027	35.8
13029	38.8
13031	35.4
13033	35.4
13035	36
13037	35.3
13039	38.4
13043	34.5
13045	38.8
13047	40.8
13049	40
13051	35
13053	
13055	38.8
13057	42.1
13059	32.8
13061	
13063	35.8
13065	36.7
13067	39.8
13069	36.4
13071	36
13073	39.6
13075	36.3
13077	35.9
13079	
13081	33.3
13083	41.5
13085	38.2
13087	37.4
13089	34.6
13091	39.8
13093	35.8
13095	32.6
13097	39.5
13099	34.4
13101	
13103	41
13105	36.2
13107	37.8
13109	36.2
13111	39.9
13113	43.7
13115	36.1
13117	46.9
13119	38.9
13121	33.1
13123	41.4
13125	
13127	35.5
13129	39.2
13131	37
13133	33.2
13135	41.3
13137	39.3
13139	39.1
13141	33.3
13143	40.9
13145	38.1
13147	38.9
13149	35.9
13151	39.5
13153	38.5
13155	37.2
13157	37.6
13159	34.4
13161	36.9
13163	35
13165	35.2
13167	34.3
13169	37.5
13171	37.9
13173	
13175	35.4
13177	40.6
13179	37.8
13181	36.3
13183	
13185	36.3
13187	40.9
13189	35.9
13191	36.4
13193	33.8
13195	36.6
13197	
13199	33.6
13201	38.3
13205	35.5
13207	35.2
13209	38
13211	33.3
13213	35.5
13215	35.2
13217	34.4
13219	40.5
13221	35.9
13223	38.2
13225	35.4
13227	39.3
13229	41.6
13231	39.2
13233	37.4
13235	33.7
13237	34
13239	
13241	38.5
13243	35.3
13245	35.8
13247	39.8
13249	
13251	36.1
13253	37.6
13255	34.9
13257	38.7
13259	
13261	33.5
13263	33.5
13265	
13267	36.5
13269	35.9
13271	36.9
13273	34.8
13275	36.1
13277	35.9
13279	37.8
13281	
13283	39.2
13285	35.3
13287	34.6
13289	33.7
13291	41.5
13293	36.8
13295	38.3
13297	36.8
13299	37.2
13301	32.7
13303	34.3
13305	37.6
13307	
13309	
13311	45
13313	38.3
13315	40
13317	35.9
13319	32.3
13321	38.6
15001	40.1
15003	44.8
15005	
15007	43.6
15009	42.2
16001	42.6
16003	
16005	43.1
16007	53.8
16009	45.6
16011	46.3
16013	43.1
16015	
16017	45.7
16019	45.5
16021	46.2
16023	
16025	
16027	41.6
16029	53.4
16031	48.2
16033	
16035	46.7
16037	
16039	44.1
16041	54.8
16043	49.6
16045	45.5
16047	46.3
16049	48.5
16051	49.1
16053	45.2
16055	44.8
16057	46.3
16059	46.2
16061	46.9
16063	
16065	51.6
16067	49.2
16069	43.6
16071	
16073	46
16075	43.9
16077	46.9
16079	43.4
16081	50.1
16083	45.5
16085	43.3
16087	45.7
17001	45.4
17003	35.7
17005	43.3
17007	42.9
17009	
17011	47.2
17013	
17015	46.8
17017	44.4
17019	40.5
17021	45.1
17023	47.5
17025	44.5
17027	52.3
17029	40.9
17031	38
17033	43.7
17035	44
17037	45.3
17039	46.3
17041	48.8
17043	49
17045	45.7
17047	49
17049	50.3
17051	45.6
17053	47.8
17055	45.3
17057	44.1
17059	50.5
17061	48.2
17063	46.8
17065	49.4
17067	51.4
17069	
17071	50.4
17073	46.9
17075	47.4
17077	40.5
17079	53
17081	43
17083	46.4
17085	50.3
17087	44.4
17089	41.4
17091	40.9
17093	49.2
17095	41.7
17097	42.7
17099	45.2
17101	44.8
17103	45.2
17105	46.9
17107	45.1
17109	48.2
17111	46.7
17113	42.7
17115	39.5
17117	44.3
17119	41.4
17121	40.8
17123	47.4
17125	43.1
17127	41.4
17129	46.8
17131	50.8
17133	51.1
17135	44.2
17137	41.4
