County ID,School Exp per Student,Teacher-Student Ratio,Test Score Percentile,Highschool Dropout Rate,Mean Parent Income,Teenage Pregnancy Rate
1001,4.424,17.9,-17.887,0.005,64000,0.178
1013,4.424,17.9,-17.887,0.005,44900,0.205
1051,4.424,17.9,-17.887,0.005,60500,0.183
1085,4.424,17.9,-17.887,0.005,34400,0.232
1101,4.424,17.9,-17.887,0.005,72300,0.196
1003,4.504,17.8,-11.938,0,75300,0.17
1025,4.504,17.8,-11.938,0,52300,0.214
1097,4.504,17.8,-11.938,0,63900,0.214
1129,4.504,17.8,-11.938,0,53700,0.214
1131,4.504,17.8,-11.938,0,34600,0.214
1005,5.587,15.9,-17.626,0.01,50000,0.238
13037,5.587,15.9,-17.626,0.01,37900,0.274
13099,5.587,15.9,-17.626,0.01,48900,0.257
13243,5.587,15.9,-17.626,0.01,36500,0.234
1007,4.862,16.9,-19.805,0,49600,0.225
1047,4.862,16.9,-19.805,0,46200,0.243
1065,4.862,16.9,-19.805,0,45700,0.24
1105,4.862,16.9,-19.805,0,31900,0.245
1125,4.862,16.9,-19.805,0,73600,0.187
1009,5.139,17.3,-12.133,-0.003,57300,0.204
1021,5.139,17.3,-12.133,-0.003,53100,0.227
1043,5.139,17.3,-12.133,-0.003,58600,0.181
1073,5.139,17.3,-12.133,-0.003,85800,0.168
1115,5.139,17.3,-12.133,-0.003,60600,0.208
1117,5.139,17.3,-12.133,-0.003,112800,0.116
1011,5.021,17,-14.15,-0.019,36700,0.277
1081,5.021,17,-14.15,-0.019,70700,0.173
1087,5.021,17,-14.15,-0.019,37700,0.247
1015,5.261,18.1,-7.685,0.012,59100,0.21
1017,5.261,18.1,-7.685,0.012,48900,0.251
1029,5.261,18.1,-7.685,0.012,50300,0.232
1111,5.261,18.1,-7.685,0.012,46600,0.251
13045,5.261,18.1,-7.685,0.012,65800,0.214
13077,5.261,18.1,-7.685,0.012,75500,0.169
13143,5.261,18.1,-7.685,0.012,53600,0.24
13149,5.261,18.1,-7.685,0.012,47300,0.263
13285,5.261,18.1,-7.685,0.012,70300,0.232
1019,5.324,16.3,-4.992,0.035,50600,0.273
13015,5.324,16.3,-4.992,0.035,66000,0.222
13055,5.324,16.3,-4.992,0.035,47800,0.259
13115,5.324,16.3,-4.992,0.035,67800,0.198
13129,5.324,16.3,-4.992,0.035,57100,0.234
13213,5.324,16.3,-4.992,0.035,54600,0.24
13233,5.324,16.3,-4.992,0.035,49700,0.258
13313,5.324,16.3,-4.992,0.035,92000,0.234
1023,5.282,16.9,-20.059,-0.007,48700,0.193
1063,5.282,16.9,-20.059,-0.007,34600,0.24
1091,5.282,16.9,-20.059,-0.007,52800,0.192
1119,5.282,16.9,-20.059,-0.007,38800,0.249
1027,4.659,17.8,-14.074,-0.004,47300,0.23
1037,4.659,17.8,-14.074,-0.004,39900,0.245
1121,4.659,17.8,-14.074,-0.004,50300,0.249
1123,4.659,17.8,-14.074,-0.004,49200,0.194
1031,4.822,17.2,-11.823,0.006,64700,0.19
1045,4.822,17.2,-11.823,0.006,55100,0.205
1061,4.822,17.2,-11.823,0.006,47900,0.215
1067,4.822,17.2,-11.823,0.006,52800,0.207
1069,4.822,17.2,-11.823,0.006,70300,0.186
1033,4.862,16.6,-3.315,-0.007,60700,0.214
1059,4.862,16.6,-3.315,-0.007,57600,0.168
1077,4.862,16.6,-3.315,-0.007,74000,0.156
47099,4.862,16.6,-3.315,-0.007,54400,0.199
47181,4.862,16.6,-3.315,-0.007,47700,0.168
1035,4.63,17.6,-16.944,0.004,42600,0.213
1053,4.63,17.6,-16.944,0.004,55400,0.232
1099,4.63,17.6,-16.944,0.004,57100,0.222
1039,4.635,16.7,-10.041,0.006,53400,0.213
1041,4.635,16.7,-10.041,0.006,43600,0.194
1109,4.635,16.7,-10.041,0.006,54400,0.228
1049,4.591,17.6,-7.767,0.009,55900,0.22
1055,4.591,17.6,-7.767,0.009,59500,0.201
1071,4.591,17.6,-7.767,0.009,55200,0.194
1095,4.591,17.6,-7.767,0.009,59900,0.229
1057,4.647,17,-5.22,-0.006,50300,0.25
1075,4.647,17,-5.22,-0.006,45600,0.169
1093,4.647,17,-5.22,-0.006,55700,0.201
1127,4.647,17,-5.22,-0.006,57400,0.215
1133,4.647,17,-5.22,-0.006,52900,0.203
1079,5.14,16.5,-7.679,-0.006,56800,0.221
1083,5.14,16.5,-7.679,-0.006,66700,0.183
