Teenage Birth Rates,Mean Parent Income,School Expenditure/Student,Teacher-Student Ratio,Test Score Percentile,HS Dropout Rate
0.17800000000000002,64000.0,4.4239999999999995,17.9,-17.887,0.005
0.205,44900.0,4.4239999999999995,17.9,-17.887,0.005
0.183,60500.0,4.4239999999999995,17.9,-17.887,0.005
0.23199999999999998,34400.0,4.4239999999999995,17.9,-17.887,0.005
0.196,72300.0,4.4239999999999995,17.9,-17.887,0.005
0.17,75300.0,4.504,17.8,-11.937999999999999,0.0
0.214,52300.0,4.504,17.8,-11.937999999999999,0.0
0.214,63900.0,4.504,17.8,-11.937999999999999,0.0
0.214,53700.0,4.504,17.8,-11.937999999999999,0.0
0.214,34600.0,4.504,17.8,-11.937999999999999,0.0
0.23800000000000002,50000.0,5.587000000000001,15.9,-17.625999999999998,0.01
0.27399999999999997,37900.0,5.587000000000001,15.9,-17.625999999999998,0.01
,,5.587000000000001,15.9,-17.625999999999998,0.01
0.257,48900.0,5.587000000000001,15.9,-17.625999999999998,0.01
,,5.587000000000001,15.9,-17.625999999999998,0.01
0.23399999999999999,36500.0,5.587000000000001,15.9,-17.625999999999998,0.01
0.225,49600.0,4.862,16.9,-19.805,0.0
0.243,46200.0,4.862,16.9,-19.805,0.0
0.24,45700.0,4.862,16.9,-19.805,0.0
0.245,31900.0,4.862,16.9,-19.805,0.0
0.187,73600.0,4.862,16.9,-19.805,0.0
0.204,57300.0,5.138999999999999,17.3,-12.133,-0.003
0.22699999999999998,53100.0,5.138999999999999,17.3,-12.133,-0.003
0.18100000000000002,58600.0,5.138999999999999,17.3,-12.133,-0.003
0.168,85800.0,5.138999999999999,17.3,-12.133,-0.003
0.20800000000000002,60600.0,5.138999999999999,17.3,-12.133,-0.003
0.11599999999999999,112800.0,5.138999999999999,17.3,-12.133,-0.003
0.27699999999999997,36700.0,5.021,17.0,-14.15,-0.019
0.17300000000000001,70700.0,5.021,17.0,-14.15,-0.019
