School Expenditure per Student,Teacher-Student Ratio,Test Score Percentile,Highschool Dropout Rate,Mean Parent Income,Teenage Pregnancy Rate
4.424,17.9,-17.887,0.005,64000,0.178
4.424,17.9,-17.887,0.005,44900,0.205
4.424,17.9,-17.887,0.005,60500,0.183
4.424,17.9,-17.887,0.005,34400,0.232
4.424,17.9,-17.887,0.005,72300,0.196
4.504,17.8,-11.938,0,75300,0.17
4.504,17.8,-11.938,0,52300,0.214
4.504,17.8,-11.938,0,63900,0.214
4.504,17.8,-11.938,0,53700,0.214
4.504,17.8,-11.938,0,34600,0.214
5.587,15.9,-17.626,0.01,50000,0.238
5.587,15.9,-17.626,0.01,37900,0.274
5.587,15.9,-17.626,0.01,48900,0.257
5.587,15.9,-17.626,0.01,36500,0.234
4.862,16.9,-19.805,0,49600,0.225
4.862,16.9,-19.805,0,46200,0.243
4.862,16.9,-19.805,0,45700,0.24
4.862,16.9,-19.805,0,31900,0.245
4.862,16.9,-19.805,0,73600,0.187
5.139,17.3,-12.133,-0.003,57300,0.204
5.139,17.3,-12.133,-0.003,53100,0.227
5.139,17.3,-12.133,-0.003,58600,0.181
5.139,17.3,-12.133,-0.003,85800,0.168
5.139,17.3,-12.133,-0.003,60600,0.208
5.139,17.3,-12.133,-0.003,112800,0.116
5.021,17,-14.15,-0.019,36700,0.277
5.021,17,-14.15,-0.019,70700,0.173
5.021,17,-14.15,-0.019,37700,0.247
5.261,18.1,-7.685,0.012,59100,0.21
5.261,18.1,-7.685,0.012,48900,0.251
5.261,18.1,-7.685,0.012,50300,0.232
5.261,18.1,-7.685,0.012,46600,0.251
5.261,18.1,-7.685,0.012,65800,0.214
5.261,18.1,-7.685,0.012,75500,0.169
5.261,18.1,-7.685,0.012,53600,0.24
5.261,18.1,-7.685,0.012,47300,0.263
5.261,18.1,-7.685,0.012,70300,0.232
5.324,16.3,-4.992,0.035,50600,0.273
5.324,16.3,-4.992,0.035,66000,0.222
5.324,16.3,-4.992,0.035,47800,0.259
5.324,16.3,-4.992,0.035,67800,0.198
5.324,16.3,-4.992,0.035,57100,0.234
5.324,16.3,-4.992,0.035,54600,0.24
5.324,16.3,-4.992,0.035,49700,0.258
5.324,16.3,-4.992,0.035,92000,0.234
5.282,16.9,-20.059,-0.007,48700,0.193
5.282,16.9,-20.059,-0.007,34600,0.24
5.282,16.9,-20.059,-0.007,52800,0.192
5.282,16.9,-20.059,-0.007,38800,0.249
4.659,17.8,-14.074,-0.004,47300,0.23
4.659,17.8,-14.074,-0.004,39900,0.245
4.659,17.8,-14.074,-0.004,50300,0.249
4.659,17.8,-14.074,-0.004,49200,0.194
4.822,17.2,-11.823,0.006,64700,0.19
4.822,17.2,-11.823,0.006,55100,0.205
4.822,17.2,-11.823,0.006,47900,0.215
4.822,17.2,-11.823,0.006,52800,0.207
4.822,17.2,-11.823,0.006,70300,0.186
4.862,16.6,-3.315,-0.007,60700,0.214
4.862,16.6,-3.315,-0.007,57600,0.168
4.862,16.6,-3.315,-0.007,74000,0.156
4.862,16.6,-3.315,-0.007,54400,0.199
4.862,16.6,-3.315,-0.007,47700,0.168
4.63,17.6,-16.944,0.004,42600,0.213
4.63,17.6,-16.944,0.004,55400,0.232
4.63,17.6,-16.944,0.004,57100,0.222
4.635,16.7,-10.041,0.006,53400,0.213
4.635,16.7,-10.041,0.006,43600,0.194
4.635,16.7,-10.041,0.006,54400,0.228
4.591,17.6,-7.767,0.009,55900,0.22
4.591,17.6,-7.767,0.009,59500,0.201
4.591,17.6,-7.767,0.009,55200,0.194
4.591,17.6,-7.767,0.009,59900,0.229
4.647,17,-5.22,-0.006,50300,0.25
4.647,17,-5.22,-0.006,45600,0.169
4.647,17,-5.22,-0.006,55700,0.201
4.647,17,-5.22,-0.006,57400,0.215
4.647,17,-5.22,-0.006,52900,0.203
5.14,16.5,-7.679,-0.006,56800,0.221
5.14,16.5,-7.679,-0.006,66700,0.183
5.14,16.5,-7.679,-0.006,86300,0.158
5.14,16.5,-7.679,-0.006,76000,0.177
5.14,16.5,-7.679,-0.006,60300,0.178
5.113,19.3,-13.643,0,41000,0.25
5.113,19.3,-13.643,0,62100,0.221
5.113,19.3,-13.643,0,36700,0.239
5.365,17.4,-9.339,0.025,49700,0.241
5.365,17.4,-9.339,0.025,64700,0.172
5.365,17.4,-9.339,0.025,45900,0.252
5.365,17.4,-9.339,0.025,65000,0.206
5.365,17.4,-9.339,0.025,39100,0.227
8.706,20,-5.599,0.044,108000,0.12
8.706,20,-5.599,0.044,82400,0.119
8.706,20,-5.599,0.044,82800,0.119
8.849,18.2,-3.754,0.051,91800,0.129
8.849,18.2,-3.754,0.051,64100,0.129
8.849,18.2,-3.754,0.051,57800,0.196
9.217,27.7,-4.643,0.036,102600,0.1
8.46,18.5,-6.395,0.042,93200,0.142
8.46,18.5,-6.395,0.042,64000,0.142
8.42,20.3,-1.741,0.007,89100,0.104
8.366,17.1,5.428,0.004,85300,0.095
8.366,17.1,5.428,0.004,76900,0.097
10.053,16.5,-0.438,-0.004,88400,0.106
6.187,17.6,-19.598,0.025,43600,0.201
6.187,17.6,-19.598,0.025,54500,0.201
6.187,17.6,-19.598,0.025,39200,0.213
4.673,15.9,-12.254,0.013,55200,0.23
4.673,15.9,-12.254,0.013,37200,0.229
4.673,15.9,-12.254,0.013,48700,0.209
4.643,17.4,-11.593,0.009,58100,0.23
4.895,17.2,5.828,-0.007,60500,0.16
4.895,17.2,5.828,-0.007,44200,0.161
4.895,17.2,5.828,-0.007,37200,0.183
5.063,18.3,1.533,0.014,99000,0.186
5.063,18.3,1.533,0.014,43700,0.198
5.063,18.3,1.533,0.014,70500,0.169
5.063,18.3,1.533,0.014,42700,0.251
5.063,18.3,1.533,0.014,43400,0.249
4.871,17.2,5.503,0.002,58800,0.187
4.871,17.2,5.503,0.002,49300,0.2
4.871,17.2,5.503,0.002,36900,0.224
4.871,17.2,5.503,0.002,34100,0.125
5.002,18,-15.882,0.009,49500,0.235
5.002,18,-15.882,0.009,38800,0.267
5.002,18,-15.882,0.009,54200,0.201
5.002,18,-15.882,0.009,46300,0.263
5.002,18,-15.882,0.009,52600,0.212
5.002,18,-15.882,0.009,52900,0.261
5.002,18,-15.882,0.009,40900,0.293
4.725,16.6,-9.728,0.005,46600,0.245
4.725,16.6,-9.728,0.005,47500,0.221
4.725,16.6,-9.728,0.005,60700,0.225
4.738,17.1,-1.747,0.002,55300,0.227
4.738,17.1,-1.747,0.002,67900,0.191
4.738,17.1,-1.747,0.002,46300,0.243
4.738,17.1,-1.747,0.002,50200,0.211
4.738,17.1,-1.747,0.002,46800,0.267
4.738,17.1,-1.747,0.002,45700,0.251
4.738,17.1,-1.747,0.002,50800,0.203
4.696,17.1,0.329,0.003,49700,0.261
4.696,17.1,0.329,0.003,69900,0.188
4.696,17.1,0.329,0.003,57100,0.208
4.696,17.1,0.329,0.003,45200,0.196
4.696,17.1,0.329,0.003,44900,0.232
4.696,17.1,0.329,0.003,47900,0.177
4.875,17.1,6.815,0.021,50600,0.178
4.875,17.1,6.815,0.021,41100,0.203
4.875,17.1,6.815,0.021,41900,0.252
4.759,16.6,-11.371,0,56600,0.204
4.759,16.6,-11.371,0,37000,0.303
5.365,17.4,-9.092,0.007,53100,0.198
5.365,17.4,-9.092,0.007,75100,0.176
5.365,17.4,-9.092,0.007,66800,0.191
5.365,17.4,-9.092,0.007,65400,0.19
5.365,17.4,-9.092,0.007,48200,0.183
5.365,17.4,-9.092,0.007,78100,0.198
5.365,17.4,-9.092,0.007,74800,0.163
4.869,16.5,-2.179,0.004,53900,0.228
4.869,16.5,-2.179,0.004,43500,0.257
4.869,16.5,-2.179,0.004,73800,0.188
4.869,16.5,-2.179,0.004,42200,0.276
4.869,16.5,-2.179,0.004,44100,0.265
4.869,16.5,-2.179,0.004,44800,0.252
4.869,16.5,-2.179,0.004,50200,0.236
4.869,16.5,-2.179,0.004,44800,0.249
4.632,17.2,-14.367,0.024,48100,0.287
4.632,17.2,-14.367,0.024,48400,0.262
4.632,17.2,-14.367,0.024,34500,0.322
4.632,17.2,-14.367,0.024,35500,0.29
4.632,17.2,-14.367,0.024,38800,0.284
4.529,17.3,4.951,0.011,54300,0.195
4.529,17.3,4.951,0.011,50600,0.244
4.529,17.3,4.951,0.011,47600,0.233
4.529,17.3,4.951,0.011,68400,0.186
4.529,17.3,4.951,0.011,51100,0.251
4.706,15.2,2.757,-0.014,42100,0.188
4.706,15.2,2.757,-0.014,50500,0.204
4.706,15.2,2.757,-0.014,35600,0.183
4.706,15.2,2.757,-0.014,33100,0.225
4.706,15.2,2.757,-0.014,42500,0.22
4.942,15.9,5.831,0.001,57700,0.203
4.942,15.9,5.831,0.001,42700,0.2
4.942,15.9,5.831,0.001,42500,0.2
4.533,17.1,3.54,0.007,48900,0.239
4.533,17.1,3.54,0.007,55300,0.213
4.533,17.1,3.54,0.007,50000,0.269
5.48,14.2,4.345,-0.003,51000,0.241
5.48,14.2,4.345,-0.003,53600,0.252
5.48,14.2,4.345,-0.003,65500,0.22
5.48,14.2,4.345,-0.003,57900,0.283
5.48,14.2,4.345,-0.003,53300,0.223
5.48,14.2,4.345,-0.003,56300,0.213
5.48,14.2,4.345,-0.003,48800,0.231
5.48,14.2,4.345,-0.003,61900,0.245
4.637,15.9,-12.888,0.029,46300,0.297
4.637,15.9,-12.888,0.029,46300,0.244
4.637,15.9,-12.888,0.029,40700,0.318
4.887,15.6,-1.466,0,42300,0.26
4.887,15.6,-1.466,0,46600,0.212
4.887,15.6,-1.466,0,40800,0.253
4.887,15.6,-1.466,0,43500,0.257
4.887,15.6,-1.466,0,38200,0.232
5.495,23.3,-11.615,-0.02,76400,0.105
5.495,23.3,-11.615,-0.02,66400,0.092
5.495,23.3,-11.615,-0.02,99400,0.083
5.495,23.3,-11.615,-0.02,78700,0.082
5.495,23.3,-11.615,-0.02,113500,0.073
5.495,23.3,-11.615,-0.02,81500,0.125
5.495,23.3,-11.615,-0.02,74900,0.151
5.495,23.3,-11.615,-0.02,84500,0.107
5.495,23.3,-11.615,-0.02,97000,0.108
5.377,20.4,-9.264,0.002,58000,0.158
5.377,20.4,-9.264,0.002,59600,0.14
6.149,20.1,-8.53,-0.008,68100,0.151
6.149,20.1,-8.53,-0.008,56200,0.086
6.149,20.1,-8.53,-0.008,54900,0.126
