id,county_name,state,relative,absolute
1001,Autauga,AL,0.444,38.4
1003,Baldwin,AL,0.336,39.6
1005,Barbour,GA,0.398,36.1
1007,Bibb,AL,0.434,39.1
1009,Blount,AL,0.317,42
1011,Bullock,AL,0.365,34.2
1013,Butler,AL,0.494,37.9
1015,Calhoun,GA,0.399,38.3
1017,Chambers,GA,0.386,35.4
1019,Cherokee,GA,0.404,37
1021,Chilton,AL,0.363,40.3
1023,Choctaw,AL,0.337,40.5
1025,Clarke,AL,0.387,39.9
1027,Clay,AL,0.356,40.9
1029,Cleburne,GA,0.404,43.9
1031,Coffee,AL,0.394,41
1033,Colbert,AL,0.419,38.8
1035,Conecuh,AL,0.359,38.5
1037,Coosa,AL,0.291,37.9
1039,Covington,AL,0.417,43.4
1041,Crenshaw,AL,0.373,44
1043,Cullman,AL,0.335,42.2
1045,Dale,AL,0.402,39.8
1047,Dallas,AL,0.413,35.5
1049,De Kalb,AL,0.352,42.4
1051,Elmore,AL,0.376,39.1
1053,Escambia,AL,0.407,40.2
1055,Etowah,AL,0.395,39.3
1057,Fayette,AL,0.53,42.8
1059,Franklin,AL,0.371,42.6
1061,Geneva,AL,0.486,38.6
1063,Greene,AL,0.33,34.8
1065,Hale,AL,0.413,37.2
1067,Henry,AL,0.37,37.7
1069,Houston,AL,0.406,38.1
1071,Jackson,AL,0.385,42.1
1073,Jefferson,AL,0.407,36.2
1075,Lamar,AL,0.443,44.3
1077,Lauderdale,AL,0.34,42.2
1079,Lawrence,AL,0.349,40.6
1081,Lee,AL,0.384,36.7
1083,Limestone,AL,0.377,38.9
1085,Lowndes,AL,0.349,34.7
1087,Macon,AL,0.334,33.7
1089,Madison,AL,0.373,37.1
1091,Marengo,AL,0.432,37.8
1093,Marion,AL,0.392,43.2
1095,Marshall,AL,0.339,41.7
1097,Mobile,AL,0.399,37.4
1099,Monroe,AL,0.389,38.1
1101,Montgomery,AL,0.439,34.3
1103,Morgan,AL,0.357,38.8
1105,Perry,AL,0.42,36
1107,Pickens,MS,0.469,37.7
1109,Pike,AL,0.427,40
1111,Randolph,GA,0.371,38.2
1113,Russell,GA,0.354,35.7
1115,St Clair,AL,0.323,40.8
1117,Shelby,AL,0.363,40.4
1119,Sumter,AL,0.349,35.7
1121,Talladega,AL,0.417,37.4
1123,Tallapoosa,AL,0.481,38
1125,Tuscaloosa,AL,0.41,37.3
1127,Walker,AL,0.33,41.1
1129,Washington,AL,0.393,43.1
1131,Wilcox,AL,0.445,35.1
1133,Winston,AL,0.42,41.1
2013,Aleutians East,AK,,
2016,Aleutians West,AK,,
2020,Anchorage,AK,0.285,44.1
2050,Bethel,AK,0.294,34.1
2060,Bristol Bay,AK,,
2068,Denali,AK,,
2070,Dillingham,AK,,
