county state	fip	absolute mobility
Autauga AL	1001	38.4
Baldwin AL	1003	39.6
Barbour GA	1005	36.1
Bibb AL	1007	39.1
Blount AL	1009	42.0
Bullock AL	1011	34.2
Butler AL	1013	37.9
Calhoun GA	1015	38.3
Calhoun GA	1015	35.3
Calhoun GA	13037	38.3
Calhoun GA	13037	35.3
Chambers GA	1017	35.4
Cherokee GA	1019	37.0
Cherokee GA	1019	42.1
Cherokee GA	13057	37.0
Cherokee GA	13057	42.1
Chilton AL	1021	40.3
Choctaw AL	1023	40.5
Clarke AL	1025	39.9
Clay AL	1027	40.9
Cleburne GA	1029	43.9
Coffee AL	1031	41.0
Colbert AL	1033	38.8
Conecuh AL	1035	38.5
Coosa AL	1037	37.9
Covington AL	1039	43.4
Crenshaw AL	1041	44.0
Cullman AL	1043	42.2
Dale AL	1045	39.8
Dallas AL	1047	35.5
De Kalb AL	1049	42.4
Elmore AL	1051	39.1
Escambia AL	1053	40.2
Etowah AL	1055	39.3
Fayette AL	1057	42.8
Franklin AL	1059	42.6
Geneva AL	1061	38.6
Greene AL	1063	34.8
Hale AL	1065	37.2
Henry AL	1067	37.7
Houston AL	1069	38.1
Jackson AL	1071	42.1
Jefferson AL	1073	36.2
Lamar AL	1075	44.3
Lauderdale AL	1077	42.2
Lawrence AL	1079	40.6
Lawrence AL	1079	41.2
Lawrence AL	47099	40.6
Lawrence AL	47099	41.2
Lee AL	1081	36.7
Limestone AL	1083	38.9
Lowndes AL	1085	34.7
Macon AL	1087	33.7
Madison AL	1089	37.1
Marengo AL	1091	37.8
Marion AL	1093	43.2
Marshall AL	1095	41.7
Mobile AL	1097	37.4
Monroe AL	1099	38.1
Montgomery AL	1101	34.3
Morgan AL	1103	38.8
Perry AL	1105	36.0
Pickens MS	1107	37.7
Pike AL	1109	40.0
Randolph GA	1111	38.2
Randolph GA	1111	35.3
Randolph GA	13243	38.2
Randolph GA	13243	35.3
Russell GA	1113	35.7
St Clair AL	1115	40.8
Shelby AL	1117	40.4
Sumter AL	1119	35.7
Talladega AL	1121	37.4
Tallapoosa AL	1123	38.0
Tuscaloosa AL	1125	37.3
Walker AL	1127	41.1
Washington AL	1129	43.1
Wilcox AL	1131	35.1
Winston AL	1133	41.1
Aleutians East AK	2013	
Aleutians West AK	2016	
Anchorage AK	2020	44.1	
Bethel AK	2050	34.1
Bristol Bay AK	2060	
Denali AK	2068	
Dillingham AK	2070	
Fairbanks North Star AK	2090	45.0	
Haines AK	2100	
Juneau AK	2110	41.7
Kenai Peninsula AK	2122	47.3	
Ketchikan Gateway AK	2130	43.8
Kodiak Island AK	2150	45.7
Lake and Peninsula AK	2164	
Matanuska Susitna AK	2170	47.7
Nome AK	2180	30.7
North Slope AK	2185	31.2	
Northwest Arctic AK	2188	31.3	
Prince Wales Ketchikan AK	2201	38.6	
Sitka AK	2220	38.0
Skagway Hoonah Angoon AK	2232		
Southeast Fairbanks AK	2240	50.7
Valdez Cordova AK	2261	45.9
Wade Hampton AK	2270	
Wrangell Petersburg AK	2280	44.2	
Yakutat AK	2282	
Yukon Koyukuk AK	2290	41.9
Apache AZ	4001	34.6
Cochise AZ	4003	42.9
Coconino AZ	4005	39.5
Gila AZ	4007	38.2
Graham AZ	4009	44.7
Greenlee AZ	4011	44.4
La Paz CA	4012	37.2
Maricopa AZ	4013	40.7
Mohave NV	4015	40.4
Navajo AZ	4017	35.8
Pima AZ	4019	39.0
Pinal AZ	4021	36.1
Santa Cruz AZ	4023	43.0
Yavapai AZ	4025	43.2
Yuma CA	4027	44.0
Arkansas AR	5001	39.8
Ashley AR	5003	38.6
Baxter AR	5005	43.5
Benton AR	5007	44.0
Boone AR	5009	44.8
Bradley AR	5011	40.7
Calhoun AR	5013	
Carroll AR	5015	44.4
Chicot AR	5017	35.1
Clark AR	5019	41.0
Clay AR	5021	42.3
Cleburne AR	5023	46.8
Cleveland AR	5025	40.2
Columbia AR	5027	39.6
Conway AR	5029	42.9
Craighead AR	5031	41.2
Crawford AR	5033	41.0
Crittenden AR	5035	33.5
Cross AR	5037	39.0
Dallas AR	5039	37.1
Desha AR	5041	36.4
Drew AR	5043	38.1
Faulkner AR	5045	43.3
Franklin AR	5047	45.4
Fulton MO	5049	44.8
Garland AR	5051	40.2
Grant AR	5053	43.4
Greene AR	5055	40.7
Hempstead AR	5057	37.8
Hot Spring AR	5059	39.7
Howard AR	5061	39.0
Independence AR	5063	44.3
Izard AR	5065	44.1
Jackson AR	5067	38.6
Jefferson AR	5069	35.7
Johnson AR	5071	43.5
Lafayette AR	5073	36.1
Lawrence AR	5075	43.2
Lee AR	5077	37.4
Lincoln AR	5079	38.4
Little River TX	5081	41.4
Logan AR	5083	43.1
Lonoke AR	5085	39.9
Madison AR	5087	43.4
Marion AR	5089	44.1
Miller TX	5091	38.1
Mississippi AR	5093	36.9
Monroe AR	5095	39.8
Montgomery AR	5097	
Nevada AR	5099	39.8
Newton AR	5101	42.9
Ouachita AR	5103	37.5
Perry AR	5105	44.0
Phillips AR	5107	35.0
Pike AR	5109	45.3
Poinsett AR	5111	38.0
Polk OK	5113	45.3
Pope AR	5115	41.4
Prairie AR	5117	40.5
Pulaski AR	5119	35.8
Randolph AR	5121	43.0
St Francis AR	5123	35.1
Saline AR	5125	40.6
Scott AR	5127	42.7
Searcy AR	5129	46.9
Sebastian AR	5131	40.2
Sevier OK	5133	44.3
Sharp AR	5135	43.7
Stone AR	5137	40.0
Union AR	5139	37.4
Van Buren AR	5141	45.4
Washington AR	5143	42.8
White AR	5145	42.8
Woodruff AR	5147	37.6
Yell AR	5149	42.1
Alameda CA	6001	42.5
Alpine CA	6003	
Amador CA	6005	44.2
Butte CA	6007	41.3
Calaveras CA	6009	42.8
Colusa CA	6011	47.8
Contra Costa CA	6013	43.6
Del Norte CA	6015	38.6
El Dorado CA	6017	45.6
Fresno CA	6019	40.8
Glenn CA	6021	43.6
Humboldt CA	6023	38.9
Imperial CA	6025	44.0
Inyo CA	6027	43.7
Kern CA	6029	45.3
Kings CA	6031	42.2
Lake CA	6033	40.4
Lassen CA	6035	44.3
Los Angeles CA	6037	43.3
Madera CA	6039	41.7
Marin CA	6041	46.7
Mariposa CA	6043	45.1
Mendocino CA	6045	40.0
Merced CA	6047	42.0
Modoc CA	6049	46.7
Mono CA	6051	48.1
Monterey CA	6053	43.6
Napa CA	6055	47.3
