county id,commuting zone id,teenage br,mean parent income
1001,11101,0.178,64000
1003,11001,0.17,75300
1005,10301,0.238,50000
1007,10801,0.225,49600
1009,10700,0.204,57300
1011,9800,0.277,36700
1013,11101,0.205,44900
1015,9600,0.21,59100
1017,9600,0.251,48900
1019,6600,0.273,50600
1021,10700,0.227,53100
1023,10802,0.193,48700
1025,11001,0.214,52300
1027,9500,0.23,47300
1029,9600,0.232,50300
1031,10302,0.19,64700
1033,6200,0.214,60700
1035,11002,0.213,42600
1037,9500,0.245,39900
1039,11102,0.213,53400
1041,11102,0.194,43600
1043,10700,0.181,58600
1045,10302,0.205,55100
1047,10801,0.243,46200
1049,6100,0.22,55900
1051,11101,0.183,60500
1053,11002,0.232,55400
1055,6100,0.201,59500
1057,10600,0.25,50300
1059,6200,0.168,57600
1061,10302,0.215,47900
1063,10802,0.24,34600
1065,10801,0.24,45700
1067,10302,0.207,52800
1069,10302,0.186,70300
1071,6100,0.194,55200
1073,10700,0.168,85800
1075,10600,0.169,45600
1077,6200,0.156,74000
1079,6000,0.221,56800
1081,9800,0.173,70700
1083,6000,0.183,66700
1085,11101,0.232,34400
1087,9800,0.247,37700
1089,6000,0.158,86300
1091,10802,0.192,52800
1093,10600,0.201,55700
1095,6100,0.229,59900
1097,11001,0.214,63900
1099,11002,0.222,57100
1101,11101,0.196,72300
1103,6000,0.177,76000
1105,10801,0.245,31900
1107,10501,0.25,41000
1109,11102,0.228,54400
1111,9600,0.251,46600
1113,9701,0.241,49700
1115,10700,0.208,60600
1117,10700,0.116,112800
1119,10802,0.249,38800
1121,9500,0.249,50300
1123,9500,0.194,49200
1125,10801,0.187,73600
1127,10600,0.215,57400
1129,11001,0.214,53700
1131,11001,0.214,34600
1133,10600,0.203,52900
2013,34101,,
2016,34114,,
2020,34102,0.12,108000
2050,34112,0.199,61100
2060,34104,,
2068,34115,,
2070,34107,,
2090,34115,0.129,91800
2100,34109,,
2110,34109,0.1,102600
2122,34102,0.119,82400
2130,34111,0.142,93200
2150,34108,0.104,89100
2164,34107,,
2170,34102,0.119,82800
2180,34106,0.236,67800
2185,34113,0.228,109400
2188,34105,0.255,60500
2201,34111,0.142,64000
2220,34110,0.095,85300
2232,34109,,
2240,34115,0.129,64100
2261,34103,0.106,88400
2270,34112,,
2280,34110,0.097,76900
2282,34109,,
2290,34115,0.196,57800
4001,35500,0.201,43600
4003,35100,0.183,56800
4005,35401,0.162,67700
4007,35001,0.238,55300
4009,35002,0.231,59000
4011,35002,0.229,66600
4012,38300,0.22,50000
4013,35001,0.165,97600
4015,37901,0.195,56000
4017,35500,0.201,54500
4019,35100,0.172,75400
4021,35001,0.273,53800
4023,35100,0.193,55500
4025,35401,0.18,64400
4027,38100,0.223,54600
5001,4301,0.23,55200
5003,4101,0.23,58100
5005,25101,0.16,60500
5007,30300,0.186,99000
5009,25103,0.187,58800
5011,4102,0.235,49500
5013,4103,,
5015,25103,0.2,49300
5017,4102,0.267,38800
5019,34001,0.227,55300
5021,25900,0.261,49700
5023,25104,0.178,50600
5025,4102,0.201,54200
5027,4001,0.204,56600
5029,4200,0.198,53100
5031,25900,0.188,69900
5033,30100,0.228,53900
5035,5300,0.287,48100
5037,5300,0.262,48400
5039,4103,0.245,46600
5041,4102,0.263,46300
5043,4102,0.212,52600
5045,4200,0.176,75100
5047,30000,0.195,54300
5049,25102,0.188,42100
5051,34001,0.191,67900
5053,4200,0.191,66800
5055,25900,0.208,57100
5057,34001,0.243,46300
5059,34001,0.211,50200
5061,34001,0.267,46800
5063,25105,0.203,57700
5065,25105,0.2,42700
5067,4302,0.239,48900
5069,4102,0.261,52900
5071,30000,0.244,50600
