commuting zone id,racial segregation,school exp per student,ts ratio,test score percentile,hs dropout rate,teenage labor force,violent crime,single mothers,divorced
100,0.090,5.185,,2.728,-0.015,0.004,0.001,0.190,0.110
200,0.093,4.506,,-3.400,-0.024,0.005,0.002,0.185,0.116
301,0.064,5.614,15.1,-9.315,-0.005,0.003,0.001,0.211,0.113
302,0.210,4.900,,-6.032,-0.011,0.004,0.001,0.206,0.114
401,0.262,5.463,15.4,-2.297,0.023,0.004,0.003,0.220,0.092
402,0.137,5.740,,4.227,,0.003,0.002,0.241,0.096
500,0.220,5.008,16.7,-3.716,0.016,0.004,0.003,0.237,0.096
601,0.114,5.296,16.2,6.698,0.021,0.003,0.003,0.165,0.087
602,0.131,5.377,12.3,4.900,,0.004,0.001,0.167,0.089
700,0.139,5.421,15.9,-1.009,,0.004,0.003,0.246,0.099
800,0.134,5.251,16.4,2.412,0.030,0.003,0.004,0.214,0.094
900,0.223,5.674,17.0,-2.291,0.023,0.004,0.004,0.219,0.088
1001,0.076,5.264,13.9,9.978,0.013,0.004,0.002,0.167,0.090
1002,0.117,4.926,15.7,5.556,0.018,0.004,0.002,0.179,0.096
1100,0.134,5.205,16.7,3.202,0.026,0.004,0.002,0.190,0.095
1201,0.044,5.199,15.8,4.110,0.034,0.006,0.002,0.166,0.103
1202,0.326,5.622,14.6,3.849,0.022,0.005,0.002,0.217,0.099
1203,0.168,5.649,16.2,9.045,0.024,0.005,0.003,0.203,0.099
1204,0.051,5.167,15.7,1.551,0.017,0.005,0.002,0.166,0.089
1301,0.077,5.493,14.9,-10.920,0.019,0.002,0.004,0.316,0.091
1302,0.201,5.710,15.9,-2.106,-0.018,0.004,0.003,0.295,0.095
1400,0.173,4.866,16.3,-5.484,0.024,0.003,0.003,0.276,0.092
1500,0.155,5.379,16.1,-0.153,0.020,0.004,0.003,0.253,0.096
1600,0.169,5.084,15.8,-6.231,0.035,0.003,0.004,0.291,0.087
1701,0.159,5.730,16.0,-0.359,,0.004,0.002,0.211,0.085
1702,0.095,5.432,16.5,-10.284,0.042,0.003,0.004,0.339,0.086
1800,0.113,4.786,16.3,-4.023,0.015,0.004,0.003,0.250,0.084
1900,0.136,5.023,16.3,0.758,0.024,0.004,0.002,0.243,0.084
2000,0.189,5.897,15.3,5.390,,0.004,0.001,0.261,0.094
